id,name,release_date
337,夏日的檸檬草,2024/08/02
338,我父英風,2024/08/02
339,失速芭蕾,2024/08/05
340,怪奇家族,2024/08/07
341,鬼才之道,2024/08/07
342,OZONE 青春冒險,2024/08/07
343,九命貓的奇幻旅程,2024/08/08
344,情慾出走的女人,2024/08/09
345,邊緣禁地,2024/08/09
346,狗狗歌劇院(中配版),2024/08/09
347,言葉之庭,2024/08/09
348,森之聲：猩火燎原,2024/08/11
349,異形：羅穆路斯,2024/08/14
350,暹羅詛咒,2024/08/16
351,天生女王,2024/08/16
352,狸太怨,2024/08/16
353,電影蠟筆小新：我們的恐龍日記,2024/08/16
354,最後一擊,2024/08/16
355,角頭-大橋頭,2024/08/16
356,戀戀風塵（數位修復版）,2024/08/17
357,自白,2024/08/19
358,SEVENTEEN TOUR 'FOLLOW' AGAIN TO CINEMAS,2024/08/21
359,派對咖孔明 Road to Summer Sonia,2024/08/21
360,求救眨眨眼,2024/08/22
361,變身機長,2024/08/23
362,跳越時空的愛戀,2024/08/23
363,催眠,2024/08/23
364,到我們為止,2024/08/23
365,末日倒數12小時,2024/08/23
366,誰殺了比利比莉,2024/08/23
367,刀劍亂舞 迴 -旋傳 親近的侍從們-,2024/08/25
368,XIA CONCERT MOVIE CHAPTER 1：RECREATION,2024/08/30
369,我們還有明天,2024/08/30
370,哈囉！萌鬼屋,2024/08/30
371,龍族戰神：重生,2024/08/30
372,國有器官,2024/08/30
373,詭異之家,2024/08/30
374,其後,2024/08/30
375,藍色假期,2024/08/30
376,愛情城事,2024/08/30
377,滿七,2024/08/30
378,宛如阿修羅,2024/08/31
379,家族遊戲,2024/08/31
380,廚房,2024/08/31
381,如此這般,2024/08/31
382,春天情書,2024/09/01
383,未來的回憶,2024/09/01
384,黑暗之家,2024/09/01
385,我來買單,2024/09/02
386,小孩不笨3,2024/09/03
387,不思議女人,2024/09/03
388,我的夏日旅行,2024/09/03
389,陰間大法師 BEETLEJUICE,2024/09/05
390,aespa: MY First page,2024/09/06
391,湄公河水鬼,2024/09/06
392,猛鬼大學：邪無止禁,2024/09/06
393,巴黎頌紐約情,2024/09/06
394,導演你有病,2024/09/06
395,穿著旗袍的女孩,2024/09/06
396,200%小狼人,2024/09/07
397,三日月和貓,2024/09/11
398,鬼花園 : 詛咒,2024/09/13
399,警賊黑白衝,2024/09/13
400,流浪吉普賽,2024/09/13
401,荒野心家園,2024/09/13
402,變形金剛：源起,2024/09/13
403,邪惡勿語,2024/09/13
404,超完美家政婦,2024/09/13
405,你的名字。,2024/09/13
406,老師的善意謊言,2024/09/13
407,恐怖份子（數位修復版）,2024/09/14
408,JUNG KOOK: I AM STILL,2024/09/18
409,首爾單身日記,2024/09/20
410,流氓驅魔師,2024/09/20
411,屍控戰場,2024/09/20
412,惡業,2024/09/20
413,可恨的初戀！,2024/09/20
414,歡迎菜老師,2024/09/20
415,魔女荷莉,2024/09/20
416,我的英雄學院劇場版：You’re Next,2024/09/20
417,我心裡的太陽,2024/09/20
418,我的一夜騎士,2024/09/20
419,我變笨了，請多多指教：媽媽 歡迎回來,2024/09/20
420,種土,2024/09/20
421,台北追緝令,2024/09/25
422,《劇場版 SUPER WINGS：究極加速》,2024/09/27
423,那年夏天，想見妳,2024/09/27
424,薩滿男孩,2024/09/27
425,千萬別放手,2024/09/27
426,超時空愛殺,2024/09/27
427,薇娜：死後七日,2024/09/27
428,在大雪封閉的山莊裡,2024/09/27
429,不朽之櫻,2024/09/27
430,雪水消融的季節,2024/09/27
431,台北十日,2024/09/27
432,武替道,2024/09/30
433,血色之路,2024/10/01
434,小丑：雙重瘋狂,2024/10/02
435,再見，福寶,2024/10/04
436,當我的指尖觸碰到你的溫度時,2024/10/04
437,飛鳥總動員,2024/10/04
438,布勒合唱團：直到盡頭,2024/10/04
439,地獄怪客：歪曲人的詛咒,2024/10/04
440,擅長捉弄人的高木同學 電影版,2024/10/04
441,麵包超人電影版：細菌人與繪本的露露,2024/10/04
442,藍色時期,2024/10/05
443,太陽王與人魚：新帝國,2024/10/09
444,危機航線,2024/10/09
445,愛殺特攻隊,2024/10/10
446,荒野機器人,2024/10/10
447,鬼袋人,2024/10/10
448,逃出搶錢鎮,2024/10/10
449,劇場總集篇 孤獨搖滾！Re:Re:,2024/10/10
450,與夢前行  宮﨑駿,2024/10/10
451,銀魂劇場版 2D  荊棘惡童篇,2024/10/10
452,小雁與吳愛麗,2024/10/10
453,念念眷村：文學裡的眷村故事,2024/10/10
454,JUNG KOOK: I AM STILL THE PARTY EDITION,2024/10/11
455,TAEYONG: TY TRACK IN CINEMAS,2024/10/16
456,辣手警探2,2024/10/18
457,惡夢偵相,2024/10/18
458,懼裂,2024/10/18
459,微笑 2,2024/10/18
460,孤狼救援,2024/10/18
461,鄰家密友,2024/10/18
462,銀魂劇場版 2D 一國傾城篇,2024/10/18
463,陰陽師0,2024/10/18
464,默殺：無聲之地,2024/10/18
465,雪中真相,2024/10/18
466,樂一通大戰外星人：粉紅末日,2024/10/19
467,風之谷,2024/10/19
468,猛毒最終章：最後一舞,2024/10/23
469,皇后復仇中,2024/10/25
470,鬼禁地,2024/10/25
471,地獄灰姑娘,2024/10/25
472,劊樂小丑3,2024/10/25
473,白南準：月亮是最古早的電視,2024/10/25
474,真愛未了情,2024/10/25
475,鋼之鍊金術師BROTHERHOOD 15週年特別版,2024/10/25
476,巡演轉學生,2024/10/25
477,日本人的養成,2024/10/25
478,從水深0米開始,2024/10/25
479,乒乓男孩,2024/10/25
480,為我辦一場西式的喪禮,2024/10/25
481,十字路口的豬,2024/10/25
482,生活瑣事,2024/10/26
483,熟男不疑惑,2024/10/26
484,當警探戀愛時,2024/10/27
485,鬼聲泣2,2024/10/31
486,劊樂小丑2,2024/10/31
487,劊樂小丑,2024/10/31
488,非普通家族,2024/11/01
489,草迷宮恐怖殺人事件,2024/11/01
490,布勒合唱團：溫布利球場演唱會,2024/11/01
491,超／人：克里斯多夫李維傳奇故事,2024/11/01
492,劇場版 OVERLORD - 聖王國篇,2024/11/01
493,刀劍神域劇場版-序列爭戰,2024/11/01
494,仇雲殺機,2024/11/01
495,鬼們之蝴蝶大廈,2024/11/01
496,愛子歸來,2024/11/01
497,罪惡對決,2024/11/02
498,保羅‧賽門：無眠樂章,2024/11/02
499,紅色一號,2024/11/07
500,在熙的男，朋友,2024/11/08
501,幸福國度,2024/11/08
502,靠近維梅爾,2024/11/08
503,荊棘天堂,2024/11/08
504,焚城,2024/11/08
505,幕前幕後：范克萊本鋼琴大賽,2024/11/08
506,霸愛之路,2024/11/08
507,成為星星的少女,2024/11/08
508,五等分的新娘*,2024/11/08
509,黑之牛,2024/11/08
510,來生再見未名的我們,2024/11/08
511,我談的那場戀愛,2024/11/11
512,神鬼戰士 2,2024/11/14
513,"HIGHLIGHT “LIGHTS GO ON, AGAIN” IN CINEMA",2024/11/15
514,薩滿新娘,2024/11/15
515,羅素克洛之大法師,2024/11/15
516,驚爆封鎖線,2024/11/15
517,噠噠噠達利,2024/11/15
518,福田村事件,2024/11/15
519,餘燼,2024/11/15
520,默視錄,2024/11/15
521,破·地獄,2024/11/19
522,魔法壞女巫,2024/11/21
523,心葬,2024/11/22
524,FIGHTING！女孩們,2024/11/22
525,鬼碟仙,2024/11/22
526,來自地獄的邪靈,2024/11/22
527,殺,2024/11/22
528,偶像大師 劇場版: 前往光輝的另一端 經典10週年,2024/11/22
529,難言之隱,2024/11/22
530,惡靈怪談,2024/11/22
531,空海 【經典數位修復】,2024/11/22
532,女兒的女兒,2024/11/22
533,春行,2024/11/22
534,海洋奇緣2,2024/11/28
535,Baekhyun: Lonsdaleite [dot] in Cinemas,2024/11/29
536,富豪遊戲,2024/11/29
537,隔壁的房間,2024/11/29
538,異教詭屋,2024/11/29
539,艾曼紐1974 4K修復版導演版,2024/11/29
540,絕命樂透彩,2024/11/29
541,地下終劫站,2024/11/29
542,我最喜歡的蛋糕,2024/11/29
543,終極制裁者,2024/11/30
544,由島至島（上）,2024/11/30
545,由島至島,2024/11/30
546,"RM:Right People, Wrong Place",2024/12/05
547,聽說,2024/12/06
548,從今以後,2024/12/06
549,Laufey's A Night at the Symphony: Hollywood Bowl,2024/12/06
550,艾諾拉,2024/12/06
551,全力揮擊,2024/12/06
552,風流西班牙: 摩洛哥情事,2024/12/06
553,消失的豪門妻,2024/12/06
554,沙奈：詛咒之歌,2024/12/06
555,台灣超人,2024/12/06
556,鳳姐,2024/12/06
557,傷痕-老兵的故事,2024/12/06
558,八犬傳,2024/12/07
559,赤羽骨子的秘密保鑣,2024/12/08
560,NCT DREAM Mystery Lab: DREAM( )SCAPE in Cinemas,2024/12/11
561,我獨自升級：二次覺醒,2024/12/11
562,再見了！茱莉亞,2024/12/13
563,窺鏡,2024/12/13
564,邪體：鬼拼屠,2024/12/13
565,旅人所嚮,2024/12/13
566,這就是聖誕節,2024/12/13
567,404宿靈速速逃,2024/12/13
568,獵人克萊文,2024/12/13
569,惡狼年代,2024/12/13
570,艾曼紐2024,2024/12/13
571,石榴的顏色,2024/12/13
572,風都偵探 假面騎士SKULL的肖象,2024/12/13
573,黑箱日記,2024/12/13
574,優雅的相遇,2024/12/13
575,平克佛洛伊德：迷牆,2024/12/14
576,靈魂的重量,2024/12/14
577,東京戰爭戰後秘語,2024/12/14
578,藥頭悲歌II：血染雙手,2024/12/15
579,藥頭悲歌,2024/12/15
580,藥頭悲歌III：死神上門,2024/12/15
581,珍妮德爾曼,2024/12/16
582,響亮心重奏,2024/12/18
583,吶喊雷克雅維克,2024/12/18
584,PTP：永遠不滅,2024/12/18
585,愛與怒,2024/12/19
586,獅子王：木法沙,2024/12/19
587,納米比亞沙漠直播中,2024/12/19
588,恐怖日常怪談,2024/12/20
589,末世生存者,2024/12/20
590,靈寓,2024/12/20
591,手榴彈‧革命‧還有愛與詩,2024/12/20
592,安眠殺機,2024/12/20
593,LAST MILE：全面引爆,2024/12/20
594,薔薇與武士2：海盜女王的回歸（新感線舞台劇第四季）,2024/12/20
595,殺人結業弒,2024/12/20
596,一部未完成的電影,2024/12/20
597,男歡女愛,2024/12/21
598,雨中的慾情,2024/12/22
599,魔戒：洛汗人之戰,2024/12/24
600,交換禮物,2024/12/25
601,爸爸,2024/12/26
602,IVE The 1st World Tour in Cinema,2024/12/27
603,EPIK HIGH 20 THE MOVIE,2024/12/27
604,鬼妹,2024/12/27
605,死命必達,2024/12/27
606,你是我眼中的那道光,2024/12/27
607,模範生禁愛秘密,2024/12/27
608,美妙寵物 光之美少女電影: 心跳加速♡遊戲世界大冒險！,2024/12/27
609,非想非非想,2024/12/27
610,曦曦,2024/12/27
611,戰火浮生錄,2024/12/28
612,狐晴明九尾狩（新感線舞台劇第四季）,2024/12/28
613,死亡日記,2024/12/29
614,刺心切骨,2024/12/29
